orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","116 Jackson Highlands/Jackson, NH",Real Estate,,250001,500000,0,O,,
"",Rte 3A Hebron NH,Real Estate,,100001,250000,0,O,,
"",Oakmark Select Fund,Unknown,Mutual Fund,143589,143589,0,O,,
"",Neuberger Berman Abs Return Multi Mnger,Unknown,Mutual Fund,129625,129625,0,O,,
"",JP Morgan US Large Cap Core Plus,Unknown,Mutual Fund,125616,125616,0,O,,
"",Longleaf Partners Fund,Unknown,Mutual Fund,124861,124861,0,O,,
"",Wintergreen Fund,Unknown,Mutual Fund,112462,112462,0,O,,
"",Aberdeen Global High Income Fund,Unknown,Mutual Fund,89878,89878,0,O,,
"",Loomis Sayles Bond Fund,Unknown,Mutual Fund,89106,89106,0,O,,
"",Third Avenue International Value Fund,Unknown,Mutual Fund,83255,83255,0,O,,
"",Harbor International Fund,Unknown,Mutual Fund,80922,80922,0,O,,
"",Litman Gregory Masters International Fund,Unknown,,80485,80485,0,O,,
"",Vanguard REIT Index,Real Estate,Mutual Fund,70067,70067,0,O,,
"",Neuberger Berman Genesis Fund,Unknown,Mutual Fund,68982,68982,0,O,,
"",Champlain Small Co Fund,Unknown,Mutual Fund,67111,67111,0,O,,
"",Schwab Fundamentals US Small Co Index,Unknown,Mutual Fund,62730,62730,0,O,,
"",Managers Amg Timessquare Growth,Unknown,Mutual Fund,61146,61146,0,O,,
"",Champlain Mid Cap Fund,Unknown,Mutual Fund,60739,60739,0,O,,
"",Vanguard IT Bond,Unknown,Mutual Fund,53843,53843,0,O,,
"",PIMCO Total Return Bond Fund,Unknown,Mutual Fund,53551,53551,0,O,,
"",Third Avenue Small Cap Fund,Unknown,Mutual Fund,27026,27026,0,O,,
"",T Rowe Price Small Cap Value Fund,Unknown,Mutual Fund,25046,25046,0,O,,
"",Fidelity 401k,Unknown,"Brokerage, IRA, 401k",1001,15000,0,O,,
"",Fidelity 529,Unknown,Mutual Fund,5288,5288,0,O,,
"",Charles Schwab Money Market,Unknown,Mutual Fund,4373,4373,0,O,,
